# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -1.153353838959556121e+00 -1.517100070111876597e+01 -1.582468415768067294e+00
2.400000000000000000e+02 -1.222311532569029691e+00 -4.815108654259583787e+00 -1.697796850929378154e+00
3.600000000000000000e+02 -1.008105158237691867e+00 -5.391943195535933597e+00 -1.463068194243876352e+00
4.800000000000000000e+02 -9.492914100629242791e-01 -3.401137850794829554e+00 -1.419914008331935484e+00
6.000000000000000000e+02 -9.790229269560830616e-01 -2.726712640130215082e+00 -1.475055530854463059e+00
7.200000000000000000e+02 -1.089109491369644189e+00 -2.152621541435205454e+00 -1.568646964918807285e+00
8.400000000000000000e+02 -1.035766542287383407e+00 -2.017726310814754953e+00 -1.515235998852483279e+00
9.600000000000000000e+02 -1.062026885041366553e+00 -1.824860666382584595e+00 -1.556688344231242471e+00
1.080000000000000000e+03 -9.561141379763262726e-01 -1.642339768792304477e+00 -1.434509256580295489e+00
1.200000000000000000e+03 -8.690804089478557648e-01 -1.546165501588098401e+00 -1.338241633761885430e+00
1.320000000000000000e+03 -7.941672517007348775e-01 -1.341412623958299744e+00 -1.249128515655747451e+00
1.440000000000000000e+03 -7.290437850221411775e-01 -1.197716544401919769e+00 -1.154786233591777345e+00
1.560000000000000000e+03 -7.459555254658787327e-01 -1.160196268648295836e+00 -1.178672252407886534e+00
1.680000000000000000e+03 -7.510426137625804133e-01 -1.109626967019403443e+00 -1.188851784296790060e+00
1.800000000000000000e+03 -7.209678311006086915e-01 -9.769306087669300531e-01 -1.150848178282941836e+00
1.920000000000000000e+03 -7.478075432818858115e-01 -9.105045088766157146e-01 -1.178768916848073944e+00
2.040000000000000000e+03 -7.198781646134260193e-01 -8.612762846320956012e-01 -1.149582737837228308e+00
2.160000000000000000e+03 -7.147940291594604423e-01 -7.775589601601624601e-01 -1.140372327901431060e+00
2.280000000000000000e+03 -7.371189122154782059e-01 -7.309501913917720861e-01 -1.160277882605080579e+00
2.400000000000000000e+03 -7.299719841938433484e-01 -6.989547593438857342e-01 -1.157356642354854914e+00
2.520000000000000000e+03 -7.321434300670124351e-01 -6.712071947481728085e-01 -1.160018221141743355e+00
