# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -2.066011189659254565e+00 -4.271006409000348114e+00 -2.500656177632863297e+00
2.400000000000000000e+02 -1.669715604698837730e+00 -3.072139798215575368e+00 -2.116444444192934871e+00
3.600000000000000000e+02 -1.407859524179061239e+00 -2.599735060430363287e+00 -1.859881966524962627e+00
4.800000000000000000e+02 -1.145744412310858662e+00 -2.427188526498414767e+00 -1.576477934297294325e+00
6.000000000000000000e+02 -9.907406012647211879e-01 -2.181350837138652299e+00 -1.414678040814268956e+00
7.200000000000000000e+02 -9.397030184969565880e-01 -2.043718978434667655e+00 -1.342027049013521767e+00
8.400000000000000000e+02 -9.272188148039185451e-01 -1.855007697206704664e+00 -1.365247119867649461e+00
9.600000000000000000e+02 -9.587323834262516664e-01 -1.764290758688978444e+00 -1.414569820947794820e+00
1.080000000000000000e+03 -1.056171377649040677e+00 -1.761041750700415687e+00 -1.525831242578088442e+00
1.200000000000000000e+03 -9.425718907782015821e-01 -1.635834767557326375e+00 -1.384792685261183376e+00
1.320000000000000000e+03 -9.798355893876435907e-01 -1.520870704275264051e+00 -1.423419953713504826e+00
1.440000000000000000e+03 -8.940741573385423413e-01 -1.386445436034159151e+00 -1.331718220293486965e+00
1.560000000000000000e+03 -8.514284287643694160e-01 -1.274918918424842396e+00 -1.302881959520043376e+00
1.680000000000000000e+03 -8.261844856822750938e-01 -1.257140525026124944e+00 -1.278181084956659719e+00
1.800000000000000000e+03 -8.071409274985569260e-01 -1.106729536806768444e+00 -1.239780749797232406e+00
1.920000000000000000e+03 -7.722552233775982211e-01 -1.100839175786000768e+00 -1.220612888771992921e+00
2.040000000000000000e+03 -7.847767864619098477e-01 -1.019479304241636797e+00 -1.233496927655619579e+00
2.160000000000000000e+03 -7.970333280947576871e-01 -9.249715965234003301e-01 -1.227297230634136094e+00
2.280000000000000000e+03 -7.851018420550953669e-01 -9.184601223233496148e-01 -1.235003317787765953e+00
2.400000000000000000e+03 -8.223775028874100723e-01 -8.886635320119181669e-01 -1.258735806666784640e+00
2.520000000000000000e+03 -8.315135755743403578e-01 -8.600778384932525888e-01 -1.269821630066905183e+00
2.640000000000000000e+03 -8.168257192599791550e-01 -8.078221937518067497e-01 -1.254728337709219543e+00
2.760000000000000000e+03 -8.098858344086329319e-01 -7.699827333467230694e-01 -1.247839205012571506e+00
2.880000000000000000e+03 -8.166520631632063765e-01 -7.248008983325692212e-01 -1.250367902114791541e+00
3.000000000000000000e+03 -8.185887862048228936e-01 -7.230470319449198158e-01 -1.252422652764153321e+00
3.120000000000000000e+03 -8.186559051729274117e-01 -7.230171233283063659e-01 -1.252459916385250782e+00
3.240000000000000000e+03 -8.187246172165386637e-01 -7.229880650671713926e-01 -1.252498614885563244e+00
3.360000000000000000e+03 -8.187934712025185524e-01 -7.229600292748259438e-01 -1.252537572626305495e+00
3.480000000000000000e+03 -8.188635435025287679e-01 -7.229326693663167269e-01 -1.252577757445436868e+00
3.600000000000000000e+03 -8.189341222338516468e-01 -7.229063400096238379e-01 -1.252618238312606769e+00
3.720000000000000000e+03 -8.190052884986431803e-01 -7.228808460614181142e-01 -1.252659514036854826e+00
3.840000000000000000e+03 -8.190775537672188022e-01 -7.228562931950657244e-01 -1.252701850888249036e+00
3.960000000000000000e+03 -8.191506874694384210e-01 -7.228324415223257304e-01 -1.252744931465880729e+00
4.080000000000000000e+03 -8.192245333919818684e-01 -7.228095654114479185e-01 -1.252788820231754752e+00
4.200000000000000000e+03 -8.192985194225734791e-01 -7.227877166229726980e-01 -1.252832893141169190e+00
4.320000000000000000e+03 -8.193740018428552485e-01 -7.227665769397277895e-01 -1.252878301034182851e+00
4.440000000000000000e+03 -8.194502016662549293e-01 -7.227464957206205520e-01 -1.252924520738489589e+00
4.560000000000000000e+03 -8.195270474049101139e-01 -7.227271269222488304e-01 -1.252971394743316758e+00
4.680000000000000000e+03 -8.196050324360532047e-01 -7.227086547727188393e-01 -1.253019260163006354e+00
4.800000000000000000e+03 -8.196832497254668004e-01 -7.226910229557784726e-01 -1.253067532839122755e+00
4.920000000000000000e+03 -8.197624133261647295e-01 -7.226744850821283928e-01 -1.253116700500802594e+00
5.040000000000000000e+03 -8.198427352359460851e-01 -7.226586916501527291e-01 -1.253166809065865861e+00
5.160000000000000000e+03 -8.199233489695700872e-01 -7.226436699760639959e-01 -1.253217415640707655e+00
5.280000000000000000e+03 -8.200052069491325923e-01 -7.226295860806485338e-01 -1.253269247517731833e+00
5.400000000000000000e+03 -8.200874215045635962e-01 -7.226165730365740059e-01 -1.253321319093354091e+00
5.520000000000000000e+03 -8.201705202112223869e-01 -7.226044380891830654e-01 -1.253374382351815974e+00
5.640000000000000000e+03 -8.202544294653201229e-01 -7.225930161980990141e-01 -1.253428251947141803e+00
5.760000000000000000e+03 -8.203391965917835593e-01 -7.225824138497428661e-01 -1.253482827961627688e+00
5.880000000000000000e+03 -8.204247938845683485e-01 -7.225729768925616137e-01 -1.253538384293135355e+00
6.000000000000000000e+03 -8.205108204129808458e-01 -7.225640871455127900e-01 -1.253594397887853429e+00
6.120000000000000000e+03 -8.205983973987623914e-01 -7.225563798696416073e-01 -1.253651767676107198e+00
6.240000000000000000e+03 -8.206859135447279741e-01 -7.225494136145180768e-01 -1.253709217357573014e+00
6.360000000000000000e+03 -8.207745319703255715e-01 -7.225432818245467459e-01 -1.253767751538833908e+00
6.480000000000000000e+03 -8.208641369637453833e-01 -7.225382178855684900e-01 -1.253827117913067557e+00
6.600000000000000000e+03 -8.209543370875094226e-01 -7.225337323906161346e-01 -1.253887122382807862e+00
6.720000000000000000e+03 -8.210457729575302288e-01 -7.225303665985852719e-01 -1.253948392370013432e+00
6.840000000000000000e+03 -8.211373089699941508e-01 -7.225278528767818953e-01 -1.254009735180277030e+00
6.960000000000000000e+03 -8.212300136204612189e-01 -7.225264444225465432e-01 -1.254072338447401291e+00
7.080000000000000000e+03 -8.213233487243459807e-01 -7.225255502674876595e-01 -1.254135460590678708e+00
7.200000000000000000e+03 -8.214175870447685268e-01 -7.225256856260741101e-01 -1.254199483962382455e+00
