# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -2.112734766740138159e+00 -9.680324265188113841e+00 -2.576097327497688383e+00
2.400000000000000000e+02 -1.417611818804893842e+00 -9.881021348950191907e+00 -1.867505834135406273e+00
3.600000000000000000e+02 -1.228661732625001557e+00 -7.284770373744823502e+00 -1.667125788710096979e+00
4.800000000000000000e+02 -1.107905761813338552e+00 -5.984013466763805411e+00 -1.548934684459417177e+00
6.000000000000000000e+02 -1.005107750461232907e+00 -4.947445621173810260e+00 -1.443070545671919502e+00
7.200000000000000000e+02 -9.338629866762713228e-01 -7.134252792050812531e+00 -1.354682672091311213e+00
8.400000000000000000e+02 -9.744609213568951045e-01 -4.695714999754713403e+00 -1.403343489175078007e+00
9.600000000000000000e+02 -9.363109729255971736e-01 -4.334993457415551532e+00 -1.356374756463760267e+00
1.080000000000000000e+03 -9.634222958931232261e-01 -5.224881134602179955e+00 -1.375339014208411426e+00
1.200000000000000000e+03 -9.484267444774013844e-01 -4.599435578633980448e+00 -1.360561311446561783e+00
1.320000000000000000e+03 -8.837914895287610761e-01 -3.416103541607570904e+00 -1.303180389072447820e+00
1.440000000000000000e+03 -8.469804379373273573e-01 -2.783713505106952812e+00 -1.277003283389241295e+00
1.560000000000000000e+03 -8.651170159646416336e-01 -2.586468856498417512e+00 -1.293414347123952535e+00
1.680000000000000000e+03 -8.568264891626982127e-01 -2.178040847127012292e+00 -1.281114276662937090e+00
1.800000000000000000e+03 -8.445695851247546626e-01 -1.919822856476089301e+00 -1.273203904741969872e+00
1.920000000000000000e+03 -8.201837376255750600e-01 -1.666018784873421588e+00 -1.260168259950299019e+00
2.040000000000000000e+03 -8.102888696675532021e-01 -1.412670157541952021e+00 -1.251251522728261234e+00
2.160000000000000000e+03 -7.944988168485902502e-01 -1.254266537122024294e+00 -1.245733691251703412e+00
2.280000000000000000e+03 -7.820630981934522108e-01 -1.144535240065123860e+00 -1.243850515306460736e+00
