# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -1.107517727846482725e+00 -8.550636245942360603e+00 -1.486913420037949907e+00
2.400000000000000000e+02 -5.859691355104849064e-01 -8.594438037246835194e+00 -9.363869210541317933e-01
3.600000000000000000e+02 -3.362400641095437126e-01 -8.613981624172289742e+00 -6.710544320530733575e-01
4.800000000000000000e+02 -2.927887615385710296e-01 -7.909692075427881441e+00 -6.043389070238084360e-01
6.000000000000000000e+02 -3.288366786126013519e-01 -3.455610712608093937e+00 -6.606686384162973047e-01
7.200000000000000000e+02 -3.960413728556571034e-01 -2.087620736227938423e+00 -7.361617619253102429e-01
8.400000000000000000e+02 -3.292696390801146400e-01 -1.926056517671129509e+00 -6.658367114978376300e-01
9.600000000000000000e+02 -2.827870736860868539e-01 -1.830210880578592381e+00 -6.150347970479285165e-01
1.080000000000000000e+03 -2.838775528994555986e-01 -1.436870811126772285e+00 -6.228691914950066355e-01
1.200000000000000000e+03 -2.527114278244071977e-01 -1.359087856411163475e+00 -5.858344162899112861e-01
1.320000000000000000e+03 -2.387286268560765978e-01 -1.225670698900980016e+00 -5.720445928743631558e-01
1.440000000000000000e+03 -2.708219710749165121e-01 -9.777696845725306618e-01 -6.016032288822832363e-01
1.560000000000000000e+03 -1.210739862815493062e-01 -1.207397124162967073e+00 -4.554738281422859303e-01
1.680000000000000000e+03 -1.190486403186192393e-01 -1.102651580554358857e+00 -4.511757451863218638e-01
1.800000000000000000e+03 -1.350598174024841558e-01 -1.007933203789725063e+00 -4.605554456733340629e-01
