# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -2.661548817952327006e+00 -3.152425716776042997e+00 -3.184031554986229473e+00
2.400000000000000000e+02 -2.500083561124526899e+00 -2.843921147959008078e+00 -3.057362467018790664e+00
3.600000000000000000e+02 -2.362740525758269428e+00 -2.569454897657489578e+00 -2.979892477481900670e+00
4.800000000000000000e+02 -2.311916514924874821e+00 -2.446063327071041904e+00 -2.969757810270287290e+00
6.000000000000000000e+02 -2.282773047035367320e+00 -2.357415888887139932e+00 -2.994248771320237701e+00
7.200000000000000000e+02 -2.275959323488252029e+00 -2.346223652423917727e+00 -3.006974476482435321e+00
8.400000000000000000e+02 -2.224786086391863371e+00 -2.237277011149345629e+00 -3.015757407665565104e+00
9.600000000000000000e+02 -2.259516142849481213e+00 -2.307191182045594591e+00 -2.995401950411462622e+00
1.080000000000000000e+03 -2.224731834293495414e+00 -2.244197424818784814e+00 -3.002681342099362993e+00
1.200000000000000000e+03 -2.214471891880624543e+00 -2.208844992059314727e+00 -3.041070736763918703e+00
1.320000000000000000e+03 -2.270884351882196395e+00 -2.176031642666544474e+00 -3.085308013525798643e+00
1.440000000000000000e+03 -2.245751068728945921e+00 -2.166398194177606484e+00 -3.073852542905237684e+00
1.560000000000000000e+03 -2.232261118490687313e+00 -2.151144047930277470e+00 -3.073656283084522656e+00
1.680000000000000000e+03 -2.232341820262031540e+00 -2.166416010585428875e+00 -3.051027695039714605e+00
1.800000000000000000e+03 -2.226002964393445804e+00 -2.155130426994501303e+00 -3.064168231063930659e+00
1.920000000000000000e+03 -2.226990409231199841e+00 -2.163204059422462855e+00 -3.064799461479109421e+00
2.040000000000000000e+03 -2.216893030783460450e+00 -2.152211665301440924e+00 -3.060584419093327124e+00
2.160000000000000000e+03 -2.211851374904769685e+00 -2.160011073519430003e+00 -3.044756298139782213e+00
2.280000000000000000e+03 -2.211864960150817794e+00 -2.159993651289262129e+00 -3.044764653304576463e+00
2.400000000000000000e+03 -2.211878849650213308e+00 -2.159996016154642096e+00 -3.044790658899975355e+00
2.520000000000000000e+03 -2.211892107595134771e+00 -2.159996687831434947e+00 -3.044819712060837347e+00
2.640000000000000000e+03 -2.211903980469617004e+00 -2.159992588341149933e+00 -3.044848052138972250e+00
2.760000000000000000e+03 -2.211917823083962897e+00 -2.159992773792063669e+00 -3.044883931946667843e+00
2.880000000000000000e+03 -2.211897927121681651e+00 -2.159970053602670692e+00 -3.044862171313877042e+00
3.000000000000000000e+03 -2.211887915717811737e+00 -2.159936263135404655e+00 -3.044864535545228623e+00
3.120000000000000000e+03 -2.211929475908100073e+00 -2.159909136734542212e+00 -3.045031176266777440e+00
3.240000000000000000e+03 -2.211389745676910490e+00 -2.159158766914840655e+00 -3.045585668265585522e+00
3.360000000000000000e+03 -2.212155531829870458e+00 -2.160050445332550417e+00 -3.047069810207951868e+00
3.480000000000000000e+03 -2.207110638748570608e+00 -2.155967632526687439e+00 -3.042739688448374391e+00
3.600000000000000000e+03 -2.210096825505287743e+00 -2.164442447892132027e+00 -3.050310502288274606e+00
3.720000000000000000e+03 -2.203814570409185603e+00 -2.154781697377842864e+00 -3.047762329624463362e+00
3.840000000000000000e+03 -2.198614423430562237e+00 -2.142569671050080338e+00 -3.060663732773365897e+00
3.960000000000000000e+03 -2.189090299583638544e+00 -2.123463435452581205e+00 -3.070273703652519171e+00
4.080000000000000000e+03 -2.184488560822771763e+00 -2.112908107506145328e+00 -3.084793783351569285e+00
4.200000000000000000e+03 -2.175756753702997592e+00 -2.112291348687535208e+00 -3.068292380989242840e+00
4.320000000000000000e+03 -2.172056135440262992e+00 -2.106260166542903267e+00 -3.078714322861201058e+00
4.440000000000000000e+03 -2.164430381993123209e+00 -2.101423283159176592e+00 -3.066119439741492148e+00
4.560000000000000000e+03 -2.163528376228555317e+00 -2.103150039305389907e+00 -3.063234125333729629e+00
4.680000000000000000e+03 -2.156613288924694061e+00 -2.095194859365766327e+00 -3.062574589812799175e+00
4.800000000000000000e+03 -2.153900950094192357e+00 -2.096922665914332296e+00 -3.055526621772579610e+00
4.920000000000000000e+03 -2.155772306791416071e+00 -2.101984711801544670e+00 -3.050296684319906859e+00
