# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -4.485223495728653198e+00 -3.055864785809011153e+01 -4.917206883890574254e+00
2.400000000000000000e+02 -4.432805735131009506e+00 -1.058239563538408667e+01 -4.925545348410113711e+00
3.600000000000000000e+02 -4.171211970330384489e+00 -8.219680942137429724e+00 -4.704086005444882090e+00
4.800000000000000000e+02 -4.158945742412833546e+00 -6.436317086279358612e+00 -4.747458060911077027e+00
6.000000000000000000e+02 -4.171867486298834748e+00 -5.673047725231747052e+00 -4.715692680321078356e+00
7.200000000000000000e+02 -4.057559354338799551e+00 -5.264939905751528038e+00 -4.607431936597493838e+00
8.400000000000000000e+02 -4.003126220697300397e+00 -4.955565499800437479e+00 -4.572440779803800481e+00
9.600000000000000000e+02 -3.975231820983578412e+00 -4.709089754412541851e+00 -4.570679948385832247e+00
1.080000000000000000e+03 -3.945338694376333333e+00 -4.557853029706754988e+00 -4.551572990319842305e+00
1.200000000000000000e+03 -3.917224467804779842e+00 -4.425403887486689669e+00 -4.529206320842241063e+00
1.320000000000000000e+03 -3.883866402608925128e+00 -4.309975082340620212e+00 -4.503281620584072442e+00
1.440000000000000000e+03 -3.855685800986656808e+00 -4.224705004636492234e+00 -4.495178044268579143e+00
1.560000000000000000e+03 -3.829344641762765011e+00 -4.137704199951009798e+00 -4.473305211319899222e+00
1.680000000000000000e+03 -3.845228695944543862e+00 -4.105447620068773951e+00 -4.485990337009525319e+00
1.800000000000000000e+03 -3.813970863281951562e+00 -4.038430901229107306e+00 -4.470708894862451821e+00
1.920000000000000000e+03 -3.822203799828705950e+00 -3.959618291020117198e+00 -4.461962478723770609e+00
2.040000000000000000e+03 -3.795093819880516417e+00 -3.901479025136640022e+00 -4.466415034861156208e+00
2.160000000000000000e+03 -3.810881264809383495e+00 -3.894800381055913974e+00 -4.499464757794795489e+00
2.280000000000000000e+03 -3.785561170516178908e+00 -3.840697760963109442e+00 -4.483325947449610993e+00
2.400000000000000000e+03 -3.781153185334348077e+00 -3.823232593212204655e+00 -4.486111901593159423e+00
2.520000000000000000e+03 -3.770053031036551427e+00 -3.795988767829147736e+00 -4.478543037845665431e+00
2.640000000000000000e+03 -3.758368821353132105e+00 -3.755656592193678200e+00 -4.477587239870129743e+00
2.760000000000000000e+03 -3.746093548870621071e+00 -3.719643696156123891e+00 -4.471046551957572390e+00
2.880000000000000000e+03 -3.735090993275490323e+00 -3.691701762962005251e+00 -4.464678877938558443e+00
3.000000000000000000e+03 -3.731211136525796945e+00 -3.677370866123381266e+00 -4.458166657699491608e+00
3.120000000000000000e+03 -3.723301998708590244e+00 -3.650204811839815378e+00 -4.466722932262991996e+00
3.240000000000000000e+03 -3.716234723217135105e+00 -3.631454755987870264e+00 -4.462742298110469186e+00
