# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -8.570308901883888497e-01 -2.314657644762748419e+02 -1.312534614814475642e+00
2.400000000000000000e+02 -6.106136636460536282e-01 -1.186155196067281281e+02 -1.080964015347707585e+00
3.600000000000000000e+02 -5.640756502906656422e-01 -6.283685403458516561e+01 -1.048693542101969189e+00
4.800000000000000000e+02 -4.973572807039758348e-01 -4.344260754734145991e+01 -1.005266843555015610e+00
6.000000000000000000e+02 -4.884928775386069288e-01 -2.176407503699171286e+01 -9.688697646129995622e-01
7.200000000000000000e+02 -3.706789693743985370e-01 -1.958404889958845274e+01 -8.688571010278969275e-01
8.400000000000000000e+02 -4.417505865045327496e-01 -9.108551543485781110e+00 -9.244172340942854449e-01
9.600000000000000000e+02 -3.394549052777831033e-01 -9.056540546954009230e+00 -8.370806031730343433e-01
1.080000000000000000e+03 -3.160474234737308263e-01 -7.555306441105027915e+00 -8.169742655570518819e-01
1.200000000000000000e+03 -2.434572860693245411e-01 -7.125225403493166354e+00 -7.468510851733198841e-01
1.320000000000000000e+03 -2.110834058794281709e-01 -6.657130191181840573e+00 -7.274459243136160991e-01
1.440000000000000000e+03 -2.084268905690587204e-01 -5.609560851750147847e+00 -6.990461422760371191e-01
1.560000000000000000e+03 -1.768173851898465487e-01 -5.418450507512818426e+00 -6.823862895363808079e-01
1.680000000000000000e+03 -1.594361708693549096e-01 -4.658877335343158066e+00 -6.659813413785994340e-01
1.800000000000000000e+03 -1.377305950976694948e-01 -4.164648319536563115e+00 -6.474755822433828634e-01
1.920000000000000000e+03 -1.898503087432149572e-01 -3.167478574308341788e+00 -6.913071571617004363e-01
2.040000000000000000e+03 -1.663592326138213784e-01 -2.935988112890462354e+00 -6.706479421064135416e-01
2.160000000000000000e+03 -1.654401459189638601e-01 -2.710116398708702246e+00 -6.780782438528728528e-01
2.280000000000000000e+03 -1.544483446665758652e-01 -2.504669734453692787e+00 -6.723646947321328948e-01
2.400000000000000000e+03 -1.702370545154621717e-01 -2.335696471838539789e+00 -6.653381989863358381e-01
2.520000000000000000e+03 -1.696410009212451220e-01 -2.152776516139162766e+00 -6.688587177511648996e-01
2.640000000000000000e+03 -1.673987670927118698e-01 -2.035229860301963178e+00 -6.733560856288351992e-01
2.760000000000000000e+03 -1.936059006739543897e-01 -1.830074358533879231e+00 -7.029207342510406242e-01
2.880000000000000000e+03 -1.885776729898057946e-01 -1.722878953970723659e+00 -7.033012689252238214e-01
3.000000000000000000e+03 -1.718328647372341644e-01 -1.665377881980901309e+00 -6.898014974435331403e-01
3.120000000000000000e+03 -1.532297363396578349e-01 -1.621877511593509569e+00 -6.769600527729761064e-01
3.240000000000000000e+03 -1.487960618136892343e-01 -1.570445652350714205e+00 -6.811628197836578913e-01
3.360000000000000000e+03 -1.349070636526805700e-01 -1.510616195687749519e+00 -6.690397118936202148e-01
3.480000000000000000e+03 -1.433946688231510780e-01 -1.350425263644095430e+00 -6.630049593750686476e-01
3.600000000000000000e+03 -1.520421313593671997e-01 -1.264502325402848681e+00 -6.694360937999203065e-01
3.720000000000000000e+03 -1.510497214487346862e-01 -1.212771592678476562e+00 -6.705545370182192100e-01
3.840000000000000000e+03 -1.766322781235432904e-01 -1.166720730129326311e+00 -6.742183940652960450e-01
3.960000000000000000e+03 -1.324412095389795041e-01 -1.143395573040656865e+00 -6.609810876202339980e-01
4.080000000000000000e+03 -1.528037494615336889e-01 -1.113069556828835349e+00 -6.567270134654862312e-01
4.200000000000000000e+03 -1.603723305829223844e-01 -1.057382671782822969e+00 -6.638197615705846433e-01
4.320000000000000000e+03 1.178195559978390955e-01 -1.184894772594030865e+00 -3.975164306231412925e-01
4.440000000000000000e+03 1.102521678341947253e-01 -1.100404329418216420e+00 -4.050152278717551457e-01
4.560000000000000000e+03 1.186903293590250846e-01 -1.052577007220974359e+00 -3.963022523439688194e-01
4.680000000000000000e+03 1.006679612627931764e-01 -9.624759750087161780e-01 -4.139916756886204974e-01
4.800000000000000000e+03 7.051911246324885085e-02 -9.030291997892437861e-01 -4.175114297885256232e-01
4.920000000000000000e+03 2.665702669717056467e-02 -8.064233513801976061e-01 -4.586357541884193423e-01
5.040000000000000000e+03 4.341097785521319530e-02 -7.906025826287779168e-01 -4.453169551903017886e-01
5.160000000000000000e+03 5.088123797422808292e-02 -7.717782270502617781e-01 -4.402328035007240237e-01
5.280000000000000000e+03 4.554184190966716755e-02 -7.405202317151849956e-01 -4.459807359935941129e-01
5.400000000000000000e+03 1.506395383992192305e-01 -7.184246244064482756e-01 -3.344904141513546647e-01
5.520000000000000000e+03 1.449118044015313411e-01 -6.823726363735583833e-01 -3.434399312418625061e-01
5.640000000000000000e+03 1.536926988069792221e-01 -6.651267343655891118e-01 -3.371966746544023397e-01
5.760000000000000000e+03 1.566815140312983468e-01 -6.446286210539041717e-01 -3.380190205646709800e-01
5.880000000000000000e+03 4.843532516961511214e-01 -1.750549439162651488e+00 -1.165991099817289059e-02
6.000000000000000000e+03 4.865013596890845893e-01 -1.455654793354028476e+00 -1.144314496933076901e-02
6.120000000000000000e+03 4.892565573861402117e-01 -1.424299442294500340e+00 -9.495625183690761112e-03
6.240000000000000000e+03 4.862792611948300592e-01 -1.245436004767731752e+00 -1.242614548145230466e-02
6.360000000000000000e+03 4.782625516525914611e-01 -1.201088744966747779e+00 -2.360806091111089522e-02
6.480000000000000000e+03 4.344830832320479841e-01 -1.098771697627464405e+00 -3.749014552265528266e-02
