# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -3.547218598000958956e+00 -5.281392559594831226e+01 -3.917756664329695049e+00
2.400000000000000000e+02 -3.259587125305587918e+00 -3.073273450209478241e+01 -3.618782747611222650e+00
3.600000000000000000e+02 -3.276956692710478958e+00 -1.832084633261719375e+01 -3.654149024599490758e+00
4.800000000000000000e+02 -3.137119987628449902e+00 -1.516405657134720286e+01 -3.521352114820609724e+00
6.000000000000000000e+02 -3.090144630843180362e+00 -1.053392761467397953e+01 -3.471156662455618935e+00
7.200000000000000000e+02 -2.977609455956927498e+00 -1.078890849289546239e+01 -3.356089482227504472e+00
8.400000000000000000e+02 -2.901125114826998974e+00 -9.787262605416264805e+00 -3.281398479822603242e+00
9.600000000000000000e+02 -2.871185704115267079e+00 -8.035120595750964156e+00 -3.262423730595995774e+00
1.080000000000000000e+03 -2.892145657947310600e+00 -6.454344546651072712e+00 -3.297958600800604767e+00
1.200000000000000000e+03 -2.867458703216871463e+00 -6.247716263770721312e+00 -3.252060349300231579e+00
1.320000000000000000e+03 -2.846615858013543221e+00 -5.982150905380530403e+00 -3.232312524296911072e+00
1.440000000000000000e+03 -2.853951218452634109e+00 -5.427712019596840243e+00 -3.245221475863798943e+00
1.560000000000000000e+03 -2.875010579870787897e+00 -4.988908555524627531e+00 -3.268913742624872665e+00
1.680000000000000000e+03 -2.866962240108076543e+00 -4.896811435404244683e+00 -3.257617039393218672e+00
1.800000000000000000e+03 -2.861981201985285050e+00 -4.676297339613054049e+00 -3.254741412226136887e+00
1.920000000000000000e+03 -2.814515386470187508e+00 -4.466199318897245973e+00 -3.214848546074891900e+00
2.040000000000000000e+03 -2.813911102289249566e+00 -4.239058078935747709e+00 -3.192317584064874758e+00
2.160000000000000000e+03 -2.814916327379519689e+00 -4.200774117975041300e+00 -3.191618178836228559e+00
2.280000000000000000e+03 -2.816310398379061830e+00 -4.023958301998379561e+00 -3.194773364564369444e+00
2.400000000000000000e+03 -2.820822189078699971e+00 -3.870582637399025305e+00 -3.202202206989002153e+00
2.520000000000000000e+03 -2.818224774644525255e+00 -3.719408522209195489e+00 -3.203824766522378908e+00
2.640000000000000000e+03 -2.806554261560417984e+00 -3.584946702787284334e+00 -3.197085232873598581e+00
2.760000000000000000e+03 -2.793615357529310561e+00 -3.521676543183868358e+00 -3.186899209701717250e+00
2.880000000000000000e+03 -2.781692315332731535e+00 -3.459956036105030108e+00 -3.178489546543716404e+00
3.000000000000000000e+03 -2.769582916674250050e+00 -3.390127007017867289e+00 -3.168479110307548474e+00
3.120000000000000000e+03 -2.780854885141715194e+00 -3.346027501935437964e+00 -3.179348684051414686e+00
3.240000000000000000e+03 -2.775850129134868727e+00 -3.210531891587012687e+00 -3.178833223430247212e+00
3.360000000000000000e+03 -2.769698711532128765e+00 -3.052942015675229825e+00 -3.180123339044344188e+00
3.480000000000000000e+03 -2.774457950936496164e+00 -2.999212691500526162e+00 -3.188100040084405506e+00
3.600000000000000000e+03 -2.798016134216416262e+00 -2.944278637545074240e+00 -3.185643693204659233e+00
