# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -9.722145413721888785e-01 -6.823341742341844984e+00 -1.261248474350902926e+00
2.400000000000000000e+02 -7.979158883181933781e-01 -3.554568787457444756e+00 -1.098232006113315506e+00
3.600000000000000000e+02 -7.522896031982447829e-01 -2.786869169525489909e+00 -1.033537425068455251e+00
4.800000000000000000e+02 -6.161224578627333415e-01 -2.352131912441596029e+00 -9.137196336019955956e-01
6.000000000000000000e+02 -4.603862580597110066e-01 -2.325523492001324133e+00 -7.739239783655975646e-01
7.200000000000000000e+02 -4.013351741336680933e-01 -1.823179498880313831e+00 -7.374221703851191467e-01
8.400000000000000000e+02 -3.452138136533972612e-01 -1.772411742288067638e+00 -6.991444672842942465e-01
9.600000000000000000e+02 -3.173695689516399798e-01 -1.315077875810011010e+00 -6.910828152898124133e-01
1.080000000000000000e+03 -3.026959522540801362e-01 -1.059636467005908633e+00 -6.821672920063177603e-01
1.200000000000000000e+03 -2.742294796291649406e-01 -8.419497363697119319e-01 -6.644606979992068174e-01
1.320000000000000000e+03 -2.697712014832779337e-01 -6.715836809343285196e-01 -6.705135459813793553e-01
1.440000000000000000e+03 -2.654895514220563801e-01 -5.371802517827217738e-01 -6.728677272882659377e-01
1.560000000000000000e+03 -2.595358573233090271e-01 -4.890134049188996634e-01 -6.784575056943495941e-01
1.680000000000000000e+03 -2.510249488993276379e-01 -3.873356633508258651e-01 -6.684133279478959855e-01
1.800000000000000000e+03 -2.386632809323059878e-01 -3.035996128716083042e-01 -6.600240253491602704e-01
