# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -3.145353446973473854e+00 -3.830805791955620521e+01 -3.462428366061333751e+00
2.400000000000000000e+02 -2.895807710022569204e+00 -1.320272294219664921e+01 -3.278000707735780672e+00
3.600000000000000000e+02 -2.885690587822365760e+00 -8.547831256137728317e+00 -3.258588077068432565e+00
4.800000000000000000e+02 -2.852132589948615404e+00 -6.098976384650836913e+00 -3.214903665645942432e+00
6.000000000000000000e+02 -2.782030776673300565e+00 -4.992016490683312213e+00 -3.162279547245681055e+00
7.200000000000000000e+02 -2.699341805426179075e+00 -4.623049897709034184e+00 -3.087792139089737375e+00
8.400000000000000000e+02 -2.632906445938834938e+00 -4.339718298615464320e+00 -3.028167927751125532e+00
9.600000000000000000e+02 -2.573064097978492448e+00 -4.076444206517181534e+00 -2.972492029535886093e+00
1.080000000000000000e+03 -2.572939137354802952e+00 -3.687062013056127352e+00 -2.986957040098893845e+00
1.200000000000000000e+03 -2.589711261031277800e+00 -3.521245831068391841e+00 -2.970868450435621089e+00
1.320000000000000000e+03 -2.575933087560354551e+00 -3.348546567715868782e+00 -2.963007896557785958e+00
1.440000000000000000e+03 -2.569936209612379230e+00 -3.240416362890363722e+00 -2.958920895426624398e+00
1.560000000000000000e+03 -2.553832428770771656e+00 -3.055597875289779441e+00 -2.951074088406504536e+00
1.680000000000000000e+03 -2.543009183071913704e+00 -2.972007259232293919e+00 -2.941405193963891662e+00
1.800000000000000000e+03 -2.552560469272814991e+00 -2.910737288342635232e+00 -2.954519093173881839e+00
1.920000000000000000e+03 -2.529964396759153189e+00 -2.776173054903799287e+00 -2.941808312425732375e+00
2.040000000000000000e+03 -2.532542479851810135e+00 -2.727748786820260563e+00 -2.949494131462848667e+00
2.160000000000000000e+03 -2.528572033736639746e+00 -2.666692566896859518e+00 -2.954244885581446045e+00
2.280000000000000000e+03 -2.522583213603816876e+00 -2.613993260643061589e+00 -2.951786880235047761e+00
2.400000000000000000e+03 -2.530506081474293900e+00 -2.589654606797194614e+00 -2.963496928553132737e+00
2.520000000000000000e+03 -2.531041050161519923e+00 -2.541344374380921867e+00 -2.966550354881448470e+00
2.640000000000000000e+03 -2.555115324863863613e+00 -2.502907302917498189e+00 -2.953398943997269654e+00
2.760000000000000000e+03 -2.555971207972612458e+00 -2.466799291914559600e+00 -2.959279526804722948e+00
2.880000000000000000e+03 -2.554067263485867656e+00 -2.424828494911455579e+00 -2.963753925844033965e+00
3.000000000000000000e+03 -2.552192305586024279e+00 -2.411531896316594370e+00 -2.966452769718228577e+00
3.120000000000000000e+03 -2.543939527363213049e+00 -2.396388359478940355e+00 -2.962503791731302183e+00
3.240000000000000000e+03 -2.547813759677096446e+00 -2.372273407573702642e+00 -2.968255401510161651e+00
3.360000000000000000e+03 -2.551287010118220788e+00 -2.357464767642558634e+00 -2.975387301011227947e+00
3.480000000000000000e+03 -2.556883233877572437e+00 -2.323592827741618905e+00 -2.979661469395085582e+00
3.600000000000000000e+03 -2.560542840020257671e+00 -2.312342182001621005e+00 -2.987059923265111827e+00
3.720000000000000000e+03 -2.550034660675084996e+00 -2.301322481473052406e+00 -2.981240622831530906e+00
3.840000000000000000e+03 -2.543767913158822669e+00 -2.284778651947162231e+00 -2.975488286512351088e+00
3.960000000000000000e+03 -2.527220426316659552e+00 -2.265565686105862397e+00 -2.960317722793959216e+00
4.080000000000000000e+03 -2.523983158804780302e+00 -2.242053916746463926e+00 -2.959393205798789950e+00
4.200000000000000000e+03 -2.524003831757124949e+00 -2.224206362474216547e+00 -2.959001353096450515e+00
4.320000000000000000e+03 -2.520090152490641167e+00 -2.217961926097468783e+00 -2.957014957687829515e+00
4.440000000000000000e+03 -2.521178742095273595e+00 -2.197287112661823194e+00 -2.958174701614804114e+00
4.560000000000000000e+03 -2.521530365959748554e+00 -2.171178527132233693e+00 -2.957361627729413467e+00
4.680000000000000000e+03 -2.517808329145744928e+00 -2.145272835237714837e+00 -2.953939589503034924e+00
4.800000000000000000e+03 -2.550531884835312013e+00 -2.145697761596984332e+00 -2.951047619255474874e+00
4.920000000000000000e+03 -2.542589103327849376e+00 -2.148073195169208915e+00 -2.946310174504132462e+00
5.040000000000000000e+03 -2.545421463157119035e+00 -2.139137037490559834e+00 -2.950805055561895429e+00
5.160000000000000000e+03 -2.540256643843713302e+00 -2.134198296052757016e+00 -2.947763853221123220e+00
5.280000000000000000e+03 -2.535939114047904841e+00 -2.138545601971733490e+00 -2.945282796064333741e+00
5.400000000000000000e+03 -2.535074955973998456e+00 -2.131917898219318985e+00 -2.946184602051741486e+00
5.520000000000000000e+03 -2.532802958163483886e+00 -2.137939993926580406e+00 -2.946560769016197678e+00
5.640000000000000000e+03 -2.532382532152914312e+00 -2.120927321477227068e+00 -2.947260697060393841e+00
5.760000000000000000e+03 -2.531186558622718685e+00 -2.122894736235386048e+00 -2.948339081528395855e+00
