# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -2.764536018153065378e+00 -4.252229737565921042e+00 -2.990552799764668812e+00
3.162277660168379612e+01 -2.187273526187443640e+00 -3.434518796648588168e+00 -2.456953765386974187e+00
1.000000000000000000e+02 -1.706226172783676276e+00 -3.107512752049236049e+00 -1.959108458408846065e+00
3.162277660168379043e+02 -1.098671792623727939e+00 -2.747091166934022777e+00 -1.318155340718496493e+00
1.000000000000000000e+03 -5.558136410911754810e-01 -1.742612734706738165e+00 -8.498531589445320611e-01
3.162277660168379043e+03 -1.185284853004683545e-02 -1.320534306122312040e+00 -2.261038999007255745e-01
1.000000000000000000e+04 5.187012061931259854e-01 -5.936559117995663382e-01 2.235328363898662352e-01
3.162277660168379589e+04 1.114705081331855752e+00 1.980799674506655284e-01 7.490242803590543286e-01
1.000000000000000000e+05 1.561324990650660993e+00 1.053397226316878932e+00 1.053274130233134098e+00
3.162277660168379080e+05 1.914586896415252593e+00 1.709365914783026907e+00 1.214253037953659575e+00
1.000000000000000000e+06 2.089833454128965595e+00 2.071709423960192531e+00 1.262752299658371324e+00
3.162277660168379545e+06 2.172340933032175236e+00 2.216552997603479014e+00 1.272542811132808982e+00
1.000000000000000000e+07 2.192529804123643622e+00 2.264378684735632419e+00 1.279072893624269902e+00
3.162277660168379173e+07 2.195024273426320338e+00 2.277572895917440832e+00 1.281740299326090682e+00
1.000000000000000000e+08 2.199804456186084778e+00 2.282181185884948782e+00 1.286913891539400279e+00
