# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -4.380970203379691341e+00 -1.395947151282491028e+01 -4.472236720744770189e+00
3.162277660168379612e+01 -4.097661136679955796e+00 -1.405684480559394878e+01 -4.229769005920063663e+00
1.000000000000000000e+02 -3.953779329729222525e+00 -1.390992653582640592e+01 -4.084732392410808544e+00
3.162277660168379043e+02 -3.543189433446532810e+00 -1.327033110085915624e+01 -3.711170103152620303e+00
1.000000000000000000e+03 -4.047800270618592045e+00 -1.592729404645211311e+01 -4.238798687406161392e+00
3.162277660168379043e+03 -2.433075979823681401e+00 -1.163791823262667258e+01 -2.659388453159711840e+00
1.000000000000000000e+04 -1.697102915688512237e+00 -9.443134454107262599e+00 -1.941268776670449059e+00
3.162277660168379589e+04 -3.334011224035334120e+00 -1.062224467022185337e+01 -3.625037914664962280e+00
1.000000000000000000e+05 -8.713728107812958035e-01 -6.366038613392015932e+00 -1.223275015058592041e+00
3.162277660168379080e+05 4.112055889064636927e-01 -2.682694265848714288e+00 -9.763415346575823883e-02
1.000000000000000000e+06 1.585283468957256803e+00 2.858461972325243572e-01 9.308419401854710618e-01
3.162277660168379545e+06 1.798730734835196854e+00 1.438896223658369999e+00 1.046332673184682038e+00
1.000000000000000000e+07 2.052582240909747391e+00 2.047379135434607811e+00 1.237874126409259645e+00
3.162277660168379173e+07 2.098569319416284440e+00 2.184985369943226452e+00 1.255602425813247880e+00
1.000000000000000000e+08 2.109480333205149272e+00 2.258707297043030415e+00 1.277460859045277397e+00
