# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -4.671582578196455060e+00 -7.738736143484652885e+00 -4.834178840400412014e+00
3.162277660168379612e+01 -4.053577614879124269e+00 -7.162875508567601912e+00 -4.229646808061028551e+00
1.000000000000000000e+02 -3.389353220877199924e+00 -6.508771117796790406e+00 -3.573584517262612170e+00
3.162277660168379043e+02 -2.695388020000164531e+00 -5.771778533439926306e+00 -2.899613936486332033e+00
1.000000000000000000e+03 -2.005027764613499741e+00 -3.763599014828385325e+00 -2.258305732857000869e+00
3.162277660168379043e+03 -1.375117492604243763e+00 -2.820968492765234537e+00 -1.789154767953722969e+00
1.000000000000000000e+04 -9.268898611194895665e-01 -1.392350304141313444e+00 -1.586662732708624457e+00
3.162277660168379589e+04 -7.194360554626620941e-01 -8.706534589403893687e-01 -1.542638623020362365e+00
1.000000000000000000e+05 -6.725381789062718774e-01 -6.496666756723878944e-01 -1.531823050465901392e+00
3.162277660168379080e+05 -6.233237812523879651e-01 -5.690296266702798977e-01 -1.529084506339250193e+00
1.000000000000000000e+06 -6.091675151614942552e-01 -5.417883486811202465e-01 -1.528345786566489561e+00
3.162277660168379545e+06 -6.217739449456044509e-01 -5.328219330987024049e-01 -1.528145380575738566e+00
1.000000000000000000e+07 -6.367174354843766482e-01 -5.299159597550435752e-01 -1.528095943424740977e+00
3.162277660168379173e+07 -6.529244829661349225e-01 -5.289687556498144927e-01 -1.528087588871266167e+00
1.000000000000000000e+08 -5.959357599153255469e-01 -5.286544749416111078e-01 -1.528088968410354687e+00
