# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -2.653932577018640604e+00 -4.110813016071881876e+00 -2.942407496231552955e+00
3.162277660168379612e+01 -2.089852000927524767e+00 -3.537965765790476613e+00 -2.381575876893690769e+00
1.000000000000000000e+02 -1.509131324819539710e+00 -2.930266683932921445e+00 -1.810263358214456719e+00
3.162277660168379043e+02 -9.478517611454954084e-01 -2.292455645806412257e+00 -1.275110551424474714e+00
1.000000000000000000e+03 -4.108839585321447108e-01 -1.562286939493392923e+00 -8.063700941822149471e-01
3.162277660168379043e+03 6.622336110746229743e-02 -7.281331995964779313e-01 -4.704837754421917206e-01
1.000000000000000000e+04 4.279156046073931963e-01 2.993361366420845340e-02 -2.967723429586741624e-01
3.162277660168379589e+04 6.393221679911131883e-01 4.928773947576866599e-01 -2.317507304027159321e-01
1.000000000000000000e+05 7.368130775472619964e-01 6.936615553107444709e-01 -2.104227049403510075e-01
3.162277660168379080e+05 7.766917465798061082e-01 7.657338751961056955e-01 -2.031134988117756224e-01
1.000000000000000000e+06 7.922498727869238255e-01 7.897176925796443037e-01 -2.003726923017077333e-01
3.162277660168379545e+06 7.980693080955761909e-01 7.975262007814670762e-01 -1.992489900965765115e-01
1.000000000000000000e+07 8.001743043796066823e-01 8.000723172828546614e-01 -1.987477632455110499e-01
3.162277660168379173e+07 8.009311690160088038e-01 8.009153667801479637e-01 -1.985071622141320047e-01
1.000000000000000000e+08 8.012046974120495824e-01 8.012026864909070900e-01 -1.983849174339317734e-01
