# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -1.072515750189945161e+00 -7.011391887303554782e+00 -1.520828913283510886e+00
2.400000000000000000e+02 -9.076715437751403659e-01 -3.851336716640799906e+00 -1.378739985180841066e+00
3.600000000000000000e+02 -7.627864707828411195e-01 -2.293928766047760082e+00 -1.272017645301633193e+00
4.800000000000000000e+02 -7.190053607261718271e-01 -1.650291889949745849e+00 -1.211123777066482443e+00
6.000000000000000000e+02 -6.511879904958169929e-01 -1.119818255397726281e+00 -1.141841608343133085e+00
7.200000000000000000e+02 -6.552162376342154371e-01 -9.294428246101549274e-01 -1.195226743578907458e+00
8.400000000000000000e+02 -6.015351550058980479e-01 -7.870966354703307077e-01 -1.155778515640185411e+00
9.600000000000000000e+02 -6.598280998548432530e-01 -6.918516112840157328e-01 -1.201648002409580807e+00
1.080000000000000000e+03 -6.374933035774339452e-01 -6.033441870770854809e-01 -1.183731685105850584e+00
1.200000000000000000e+03 -6.276071336175788051e-01 -5.778907381306356283e-01 -1.197829574693321852e+00
1.320000000000000000e+03 -6.002979969833962537e-01 -4.805334766348638986e-01 -1.192726562330844509e+00
1.440000000000000000e+03 -5.355474007744550624e-01 -4.379200439721316895e-01 -1.114408322101880788e+00
1.560000000000000000e+03 -5.205172575517641453e-01 -4.558390600123498615e-01 -1.095046659612883833e+00
1.680000000000000000e+03 -5.336171008525267823e-01 -4.451075610661753279e-01 -1.112412642784916361e+00
1.800000000000000000e+03 -5.314121558644816501e-01 -4.227236465641660002e-01 -1.133143132523498409e+00
1.920000000000000000e+03 -5.338517351692031454e-01 -4.063691483926574199e-01 -1.141508237172503382e+00
2.040000000000000000e+03 -5.279596101524276497e-01 -3.760420855163426612e-01 -1.136379898583384618e+00
2.160000000000000000e+03 -5.641493619568437312e-01 -3.847710346838224549e-01 -1.118255418873161711e+00
2.280000000000000000e+03 -5.779966557089140089e-01 -3.858330386413894586e-01 -1.139338569415291103e+00
2.400000000000000000e+03 -5.631993358664231231e-01 -3.657800592793483130e-01 -1.127106208213402239e+00
2.520000000000000000e+03 -5.579685359958815871e-01 -3.613229441222339244e-01 -1.127606552250836280e+00
2.640000000000000000e+03 -5.670856229987200070e-01 -3.437513476602934714e-01 -1.144701070149287681e+00
2.760000000000000000e+03 -5.737102780421901027e-01 -2.799987860000870410e-01 -1.166392489840941460e+00
2.880000000000000000e+03 -5.803880104603970080e-01 -2.384418841913385489e-01 -1.193269079681485767e+00
3.000000000000000000e+03 -5.571082842981406325e-01 -2.125803400345603889e-01 -1.176164448520321537e+00
3.120000000000000000e+03 -5.193688572601882214e-01 -2.190913467550897054e-01 -1.128289115582974844e+00
3.240000000000000000e+03 -5.083765244606138767e-01 -2.192119034476757711e-01 -1.117459480052813259e+00
3.360000000000000000e+03 -5.240901804889802618e-01 -1.963283185830860256e-01 -1.144987320644832884e+00
3.480000000000000000e+03 -5.122308504730617162e-01 -1.935161285458260882e-01 -1.132430403293722465e+00
3.600000000000000000e+03 -4.935608984591139392e-01 -2.101974852458381171e-01 -1.103600962843599431e+00
