# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -3.285071156361047517e+00 -8.618162897333249362e+01 -3.731683559561722596e+00
2.400000000000000000e+02 -3.232521990313013127e+00 -2.995141388182475950e+01 -3.662957862362773653e+00
3.600000000000000000e+02 -3.235023211321115255e+00 -1.467760645994358271e+01 -3.694522151070102733e+00
4.800000000000000000e+02 -3.278589254739086467e+00 -9.151821413134413774e+00 -3.737491482816790445e+00
6.000000000000000000e+02 -3.134361959344231341e+00 -8.668547332569669805e+00 -3.593822613118772047e+00
7.200000000000000000e+02 -3.099278161040601276e+00 -7.285724009665190515e+00 -3.566647807587797647e+00
8.400000000000000000e+02 -3.238773131460661148e+00 -5.235924378727077055e+00 -3.706537827651138262e+00
9.600000000000000000e+02 -3.152427363332249488e+00 -5.027908697699060347e+00 -3.620987261000509161e+00
1.080000000000000000e+03 -3.089543747735167045e+00 -4.827885700272371849e+00 -3.559119797955136555e+00
1.200000000000000000e+03 -3.088218261705560685e+00 -4.442761792739620574e+00 -3.562987264421595413e+00
1.320000000000000000e+03 -3.072763731918117358e+00 -4.252297408281855873e+00 -3.525443850076996899e+00
1.440000000000000000e+03 -3.048986009764350413e+00 -4.086470578596638425e+00 -3.504108171695571539e+00
1.560000000000000000e+03 -3.064915345482835285e+00 -3.843862951586442644e+00 -3.525868391737298158e+00
1.680000000000000000e+03 -3.060975817255786602e+00 -3.693465206411033819e+00 -3.526966578123122087e+00
1.800000000000000000e+03 -3.030928788452202038e+00 -3.605069736844429773e+00 -3.497733968972651208e+00
1.920000000000000000e+03 -3.015031160372583230e+00 -3.517033125876380506e+00 -3.483809379508888249e+00
2.040000000000000000e+03 -3.044681344502836229e+00 -3.414202319541871145e+00 -3.496922631975311280e+00
2.160000000000000000e+03 -3.052774326968342944e+00 -3.342632531266243046e+00 -3.508891346709695380e+00
2.280000000000000000e+03 -3.037252738947523234e+00 -3.277711198753141986e+00 -3.493576927631284690e+00
2.400000000000000000e+03 -3.020812486895684046e+00 -3.220131625586552193e+00 -3.478199135532573649e+00
2.520000000000000000e+03 -3.005144111509452376e+00 -3.170757558924022224e+00 -3.460588327119373808e+00
2.640000000000000000e+03 -3.000313005279358514e+00 -3.118040885640805282e+00 -3.457097962786416900e+00
2.760000000000000000e+03 -2.997763217595386109e+00 -3.067897385710183666e+00 -3.455297683358458105e+00
2.880000000000000000e+03 -2.996720953038399582e+00 -3.016384751787616558e+00 -3.457922339674396550e+00
3.000000000000000000e+03 -2.992925855466129992e+00 -2.973285407790139168e+00 -3.455841943952271844e+00
3.120000000000000000e+03 -2.992456799205120976e+00 -2.934220136460166550e+00 -3.455636702109047054e+00
3.240000000000000000e+03 -2.987737307329902503e+00 -2.902042138504553836e+00 -3.454473743776420136e+00
