# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -4.253501156690898455e+00 -4.123897858602413891e+01 -4.663063095814286463e+00
2.400000000000000000e+02 -4.177196805571206539e+00 -1.329136415411730177e+01 -4.627232192757486651e+00
3.600000000000000000e+02 -4.084886323480526826e+00 -8.705805626159881072e+00 -4.595223253914110018e+00
4.800000000000000000e+02 -4.062596272419419563e+00 -6.682715990997632360e+00 -4.621582653534222374e+00
6.000000000000000000e+02 -4.045014639637327214e+00 -5.850339880108838209e+00 -4.580804448663232442e+00
7.200000000000000000e+02 -3.978965588477294535e+00 -5.278443806861109699e+00 -4.523696773396760129e+00
8.400000000000000000e+02 -3.950894396756967630e+00 -4.936514554723759218e+00 -4.521722252894469385e+00
9.600000000000000000e+02 -3.939304364101959610e+00 -4.730624857567059749e+00 -4.537661394912685608e+00
1.080000000000000000e+03 -3.972038383736680611e+00 -4.531104115182953862e+00 -4.518253039484178224e+00
1.200000000000000000e+03 -3.957441831717482650e+00 -4.389034398571905804e+00 -4.523195845988708719e+00
1.320000000000000000e+03 -3.942486839161804202e+00 -4.286757987686929283e+00 -4.526926579719202870e+00
1.440000000000000000e+03 -3.926900673172068146e+00 -4.178668764160201832e+00 -4.515843020403398356e+00
1.560000000000000000e+03 -3.907181587079906926e+00 -4.110968734769389954e+00 -4.498487547741606640e+00
1.680000000000000000e+03 -3.909875217084744836e+00 -4.076703488495429184e+00 -4.516701495339642491e+00
1.800000000000000000e+03 -3.890364959692583557e+00 -4.011627228540598722e+00 -4.527706797208477241e+00
1.920000000000000000e+03 -3.872538179333103070e+00 -3.956841803622465292e+00 -4.522348971747633506e+00
2.040000000000000000e+03 -3.872296868335769915e+00 -3.909116062964274718e+00 -4.528480468831231676e+00
2.160000000000000000e+03 -3.864131458608729197e+00 -3.871630440235774184e+00 -4.535311724968052793e+00
2.280000000000000000e+03 -3.855520989589227732e+00 -3.833144554460233167e+00 -4.554602954201496523e+00
2.400000000000000000e+03 -3.840352336214357010e+00 -3.799836125559995725e+00 -4.545775215549268999e+00
2.520000000000000000e+03 -3.833287364092444083e+00 -3.774790081288162291e+00 -4.546141263987037107e+00
2.640000000000000000e+03 -3.828683173818973273e+00 -3.751143160476559046e+00 -4.543737226735707679e+00
2.760000000000000000e+03 -3.822248650151615745e+00 -3.729765090319330234e+00 -4.542824292007951570e+00
2.880000000000000000e+03 -3.814958545961421255e+00 -3.706021134983810139e+00 -4.544044662920613931e+00
3.000000000000000000e+03 -3.812512466189851512e+00 -3.701515245310152302e+00 -4.536963237690160966e+00
3.120000000000000000e+03 -3.810402669234832285e+00 -3.691694001500406941e+00 -4.542938038497678299e+00
3.240000000000000000e+03 -3.807865240024918219e+00 -3.683605378329677382e+00 -4.544600993188304017e+00
