# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -3.210905616403424201e+00 -6.730800968844705778e+01 -3.571069972790327895e+00
2.400000000000000000e+02 -3.001557217277631917e+00 -3.008651219339123983e+01 -3.365500647339810580e+00
3.600000000000000000e+02 -2.695492681940643731e+00 -3.368311751147540889e+01 -3.054499149436838312e+00
4.800000000000000000e+02 -2.686906689948843407e+00 -2.318536039080886013e+01 -3.028531741212557193e+00
6.000000000000000000e+02 -2.658849465397310485e+00 -1.573304886307892936e+01 -3.022512795193785351e+00
7.200000000000000000e+02 -2.619924855252223850e+00 -1.319283790050330651e+01 -2.994479884372373668e+00
8.400000000000000000e+02 -2.598173213832183581e+00 -1.113262872164020045e+01 -2.979572230053849413e+00
9.600000000000000000e+02 -2.636340463684644586e+00 -8.308986659090278337e+00 -3.000685436986795906e+00
1.080000000000000000e+03 -2.630516150660838548e+00 -7.090427495153494242e+00 -3.004214132452966979e+00
1.200000000000000000e+03 -2.602640762971782706e+00 -6.593741434269962731e+00 -2.981137466600212615e+00
1.320000000000000000e+03 -2.591413429837948090e+00 -6.095888897574386789e+00 -2.974597161274561863e+00
1.440000000000000000e+03 -2.584252112646177935e+00 -5.812526485723745751e+00 -2.970475522537733504e+00
1.560000000000000000e+03 -2.580012888575898167e+00 -5.562724335772117890e+00 -2.968607901584312092e+00
1.680000000000000000e+03 -2.606241164430021406e+00 -5.202858424516797697e+00 -2.965300598602720328e+00
1.800000000000000000e+03 -2.611497613450757704e+00 -4.867600904544826079e+00 -2.974428708509905928e+00
1.920000000000000000e+03 -2.610502773208578375e+00 -4.504244693102055663e+00 -2.979168555222761583e+00
2.040000000000000000e+03 -2.624844958987612831e+00 -4.153773567392874178e+00 -2.998929760005345280e+00
2.160000000000000000e+03 -2.617123622924460324e+00 -3.806458776276832712e+00 -2.999021912917775534e+00
2.280000000000000000e+03 -2.623860120360057557e+00 -3.513877691403812786e+00 -3.014076586630756172e+00
2.400000000000000000e+03 -2.617238258051323818e+00 -3.441515106906775312e+00 -3.008985544012949376e+00
2.520000000000000000e+03 -2.604197877308609854e+00 -3.349705322970738308e+00 -2.997175225124527831e+00
2.640000000000000000e+03 -2.607832810274587132e+00 -3.158054801785969090e+00 -3.008377314739703934e+00
2.760000000000000000e+03 -2.627109513026204990e+00 -3.085281177429794575e+00 -3.000694032058469407e+00
2.880000000000000000e+03 -2.621874119129536052e+00 -2.976438244982052339e+00 -3.001938036592161296e+00
3.000000000000000000e+03 -2.615143497693757091e+00 -2.917666046631202548e+00 -2.996980348933171889e+00
3.120000000000000000e+03 -2.606824738655329377e+00 -2.866352977057992302e+00 -2.989829713832003133e+00
3.240000000000000000e+03 -2.603982507185058193e+00 -2.812491432809577585e+00 -2.990598955188236374e+00
3.360000000000000000e+03 -2.596256984829979686e+00 -2.761927867855626495e+00 -2.984677043267281338e+00
3.480000000000000000e+03 -2.590701124962809576e+00 -2.724195130611394067e+00 -2.979972504354922780e+00
3.600000000000000000e+03 -2.590376331699338674e+00 -2.677804010985011196e+00 -2.981122479919574353e+00
