# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -2.692052497209782125e+00 -4.463688411272317857e+00 -3.114203885527395688e+00
2.400000000000000000e+02 -2.691227250582327368e+00 -5.533220553211000592e+00 -3.058115166550797959e+00
3.600000000000000000e+02 -1.919778692705423673e+00 -4.025905586100759770e+00 -2.286911502067945801e+00
4.800000000000000000e+02 -1.864417033924664180e+00 -3.745270999169469928e+00 -2.233933120709563180e+00
6.000000000000000000e+02 -1.889236619129106121e+00 -4.177381653763065472e+00 -2.256964392797450092e+00
7.200000000000000000e+02 -2.050119350969489052e+00 -4.237733870780690637e+00 -2.415498594875766347e+00
8.400000000000000000e+02 -1.619274060082116495e+00 -2.510704669255589661e+00 -1.999268448218799010e+00
9.600000000000000000e+02 -1.613051745267085169e+00 -1.984633137261024194e+00 -2.017047580114154748e+00
1.080000000000000000e+03 -1.570871530222536228e+00 -1.851946358670784276e+00 -1.968294098143323900e+00
1.200000000000000000e+03 -1.596558673167375098e+00 -1.803086434961310935e+00 -2.003032232749194730e+00
1.320000000000000000e+03 -1.587163972866706851e+00 -1.791865672616120175e+00 -1.978240231375374192e+00
1.440000000000000000e+03 -1.546127254848752575e+00 -1.680371672318848875e+00 -1.942441868484195533e+00
1.560000000000000000e+03 -1.515634191850184109e+00 -1.625364500158946957e+00 -1.920291615274906771e+00
1.680000000000000000e+03 -1.557084877256071476e+00 -1.601818026680422280e+00 -1.953039206602059874e+00
1.800000000000000000e+03 -1.530437833577112494e+00 -1.514490680359471320e+00 -1.936488212178159252e+00
