# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -1.627149317420139241e+00 -4.066472794539032876e+00 -2.019183764001564629e+00
2.400000000000000000e+02 -1.155171417227708108e+00 -3.789646105451784486e+00 -1.472652507276647427e+00
3.600000000000000000e+02 -1.024954665296642364e+00 -3.533920935892165271e+00 -1.345998570241874637e+00
4.800000000000000000e+02 -1.009225529418087852e+00 -2.533000303452178414e+00 -1.353861922247288074e+00
6.000000000000000000e+02 -9.858250690426250129e-01 -1.605177652956159884e+00 -1.375119766290120005e+00
7.200000000000000000e+02 -9.203929555478072011e-01 -1.436095259604045715e+00 -1.309909210203148655e+00
8.400000000000000000e+02 -9.211796402142331530e-01 -1.303929521796717950e+00 -1.322629324643881388e+00
9.600000000000000000e+02 -8.994114068415283159e-01 -1.293275803654470035e+00 -1.305598097123891854e+00
1.080000000000000000e+03 -8.759323900669899743e-01 -1.193488751311708507e+00 -1.257754906050978727e+00
1.200000000000000000e+03 -7.715087047784108254e-01 -1.059092246113433555e+00 -1.176203998314470978e+00
1.320000000000000000e+03 -7.716332529116747274e-01 -8.977872658579699738e-01 -1.146371702247787949e+00
1.440000000000000000e+03 -7.712780965624892460e-01 -8.475564050857620213e-01 -1.149106070424803727e+00
1.560000000000000000e+03 -7.828152694478692775e-01 -8.011968258210225846e-01 -1.168375024257047423e+00
1.680000000000000000e+03 -7.664020324080118574e-01 -7.051850994657917759e-01 -1.147227507867739194e+00
1.800000000000000000e+03 -7.500082499452931373e-01 -6.336326304560604417e-01 -1.135411774920901617e+00
