# time/counts D_GPR D_Exp D_Ref
1.200000000000000000e+02 -3.069019861491824486e+00 -2.183666440388748953e+01 -3.474920397697455865e+00
2.400000000000000000e+02 -2.626873192091331521e+00 -1.809906614770124023e+01 -3.020185103143843364e+00
3.600000000000000000e+02 -2.560897809600861219e+00 -1.042098741080635804e+01 -2.953858993646006237e+00
4.800000000000000000e+02 -2.516150894151140349e+00 -8.044083708128431098e+00 -2.890842189508262994e+00
6.000000000000000000e+02 -2.456954535065507539e+00 -6.819922873483283965e+00 -2.842428420058000338e+00
7.200000000000000000e+02 -2.431661792746883322e+00 -5.636334486216593831e+00 -2.829901286528760718e+00
8.400000000000000000e+02 -2.399987481350100982e+00 -5.119444595140512533e+00 -2.803974266202287513e+00
9.600000000000000000e+02 -2.421938061878664339e+00 -4.655305763477202596e+00 -2.800416147974591929e+00
1.080000000000000000e+03 -2.400885968216448063e+00 -4.186701842384746186e+00 -2.789236174480207442e+00
1.200000000000000000e+03 -2.377144694100012057e+00 -3.818533787091037190e+00 -2.773230013155668860e+00
1.320000000000000000e+03 -2.379595120787973972e+00 -3.549604225990012019e+00 -2.784652006033622840e+00
1.440000000000000000e+03 -2.396180277072871512e+00 -3.152025045590743257e+00 -2.778019881177007377e+00
1.560000000000000000e+03 -2.394593903303616322e+00 -2.975870800592135712e+00 -2.786567704488478459e+00
1.680000000000000000e+03 -2.389649543402052156e+00 -2.859306609532437538e+00 -2.787352796459903637e+00
1.800000000000000000e+03 -2.376551022682555026e+00 -2.744834939156124864e+00 -2.779978609873896112e+00
1.920000000000000000e+03 -2.366235576325953716e+00 -2.660759314288722699e+00 -2.772343450798525843e+00
2.040000000000000000e+03 -2.369153562851064709e+00 -2.588171137099954056e+00 -2.780864379341810633e+00
2.160000000000000000e+03 -2.361497399796016250e+00 -2.517443359855085383e+00 -2.775823232355253189e+00
2.280000000000000000e+03 -2.350390120601057120e+00 -2.475863249199763416e+00 -2.764615939639637254e+00
2.400000000000000000e+03 -2.344693066415185712e+00 -2.418202608034658585e+00 -2.764206581638457116e+00
2.520000000000000000e+03 -2.366290077737421171e+00 -2.381549976364356613e+00 -2.754064497577226600e+00
2.640000000000000000e+03 -2.365324480580929922e+00 -2.338507931924025840e+00 -2.756845671101229023e+00
2.760000000000000000e+03 -2.364358072201808714e+00 -2.312333399435432035e+00 -2.760823693337321583e+00
2.880000000000000000e+03 -2.365466662593094682e+00 -2.285448456582598986e+00 -2.764391341192988349e+00
3.000000000000000000e+03 -2.366639225551377734e+00 -2.263258028511870190e+00 -2.771654796240470287e+00
3.120000000000000000e+03 -2.360352256635053880e+00 -2.233420875709523745e+00 -2.767553459427118501e+00
3.240000000000000000e+03 -2.353852296106145658e+00 -2.210562507020813250e+00 -2.766109944566709888e+00
3.360000000000000000e+03 -2.355972202689979866e+00 -2.212015282672085803e+00 -2.772434771310940516e+00
3.480000000000000000e+03 -2.358142546317344657e+00 -2.209222738889481619e+00 -2.778163433181535247e+00
3.600000000000000000e+03 -2.356169243646037970e+00 -2.197196743380402939e+00 -2.778149494574073675e+00
3.720000000000000000e+03 -2.359694318052407702e+00 -2.202037677343134270e+00 -2.782812058423455692e+00
3.840000000000000000e+03 -2.351442542771762234e+00 -2.169673685310083755e+00 -2.774421088529785528e+00
3.960000000000000000e+03 -2.380330923740841431e+00 -2.166960553761000163e+00 -2.777884450422709151e+00
4.080000000000000000e+03 -2.378823559099314089e+00 -2.160534791164346657e+00 -2.777791634444053415e+00
4.200000000000000000e+03 -2.370039388953594894e+00 -2.132102312913932263e+00 -2.769016304652546001e+00
4.320000000000000000e+03 -2.365686049744177399e+00 -2.107441116072009013e+00 -2.765351807452681943e+00
4.440000000000000000e+03 -2.361078454514758285e+00 -2.095516208245247203e+00 -2.763119872273043676e+00
4.560000000000000000e+03 -2.359710627019679041e+00 -2.091069571978271036e+00 -2.763761862492414512e+00
4.680000000000000000e+03 -2.355023510179883317e+00 -2.071487422449329596e+00 -2.759455245588219086e+00
4.800000000000000000e+03 -2.352104301951633669e+00 -2.060252367492708903e+00 -2.757641766440071862e+00
4.920000000000000000e+03 -2.349097302071086357e+00 -2.053176155818056348e+00 -2.755843708961297267e+00
5.040000000000000000e+03 -2.345729147339691067e+00 -2.026359221168233304e+00 -2.752596742165195565e+00
5.160000000000000000e+03 -2.343836638218219193e+00 -2.022165616511075736e+00 -2.752901473388837505e+00
5.280000000000000000e+03 -2.342666365908001591e+00 -2.015634612604880971e+00 -2.753387208550921450e+00
5.400000000000000000e+03 -2.340342168561981850e+00 -2.000296041300044791e+00 -2.751640165897049961e+00
5.520000000000000000e+03 -2.337932031382499165e+00 -1.994944100036810886e+00 -2.750715407420677661e+00
5.640000000000000000e+03 -2.337442308952752956e+00 -1.994720803846135704e+00 -2.751767541339242840e+00
5.760000000000000000e+03 -2.337179845598141625e+00 -1.999333806083187781e+00 -2.753005618391911824e+00
