# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+00 1.641660247757930069e+00 -1.432428493583754303e+01 1.390148784871025223e+00
2.000000000000000000e+00 2.069617610967530830e+00 -1.064206282446739316e+01 1.905322645602178122e+00
3.000000000000000000e+00 2.242123101365602444e+00 -4.699290338087338093e+00 1.984056846230894511e+00
4.000000000000000000e+00 2.316965305415791487e+00 -2.043746346812636450e+00 2.029739322692906800e+00
5.000000000000000000e+00 2.347632214677171092e+00 -1.011562178094880471e+00 2.089270100791098539e+00
6.000000000000000000e+00 2.557718263822311933e+00 -1.173342441391201030e+00 2.305060035952097408e+00
7.000000000000000000e+00 2.715102992064362120e+00 -1.303202912110499989e+00 2.466128543039381338e+00
8.000000000000000000e+00 2.767971910554893888e+00 -8.217860071906020192e-01 2.510820866091073800e+00
9.000000000000000000e+00 2.691470927106040190e+00 4.834402807980236333e-03 2.465087437964150308e+00
1.000000000000000000e+01 2.729763748453876815e+00 2.498872707402495785e-01 2.552418055708313371e+00
1.500000000000000000e+01 2.871941333049056855e+00 1.280510135664184812e+00 2.604334249727331851e+00
2.000000000000000000e+01 3.020236113508974363e+00 1.817111208600647343e+00 2.729586622726113188e+00
2.500000000000000000e+01 3.129103597767978417e+00 2.114947115287681090e+00 2.816916479158442232e+00
3.000000000000000000e+01 3.125832958272878770e+00 2.355043165776233849e+00 2.789932118333463773e+00
6.000000000000000000e+01 3.237494474541856349e+00 2.801121196561435323e+00 2.895516689038712066e+00
9.000000000000000000e+01 3.356060125340058153e+00 2.979639613209566384e+00 2.997117895657906317e+00
1.200000000000000000e+02 3.503434529386530993e+00 3.173023508914068369e+00 3.122967469507119453e+00
2.400000000000000000e+02 3.809309029035493399e+00 3.620512972013106623e+00 3.316404324407790316e+00
3.600000000000000000e+02 3.928068785346011893e+00 3.902010338466466610e+00 3.359840586305326227e+00
4.800000000000000000e+02 3.939911751042578736e+00 3.993815950811852478e+00 3.323855961349272636e+00
6.000000000000000000e+02 3.983192890610279591e+00 4.080238068104284466e+00 3.351542311059566792e+00
7.200000000000000000e+02 3.983245162276519036e+00 4.080234509577875812e+00 3.351617273979198952e+00
