# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -3.735516135608065724e+00 -7.954992950720677136e+00 -3.775903401927692471e+00
3.162277660168379612e+01 -2.805079691173029133e+00 -6.653136885030333403e+00 -2.817789134249347516e+00
1.000000000000000000e+02 -1.982345848177093028e+00 -4.478533825196484131e+00 -1.990228847251359623e+00
3.162277660168379043e+02 -1.145999709823240176e+00 -2.943636798348480355e+00 -1.168769975455887788e+00
1.000000000000000000e+03 -3.173747391297632725e-01 -1.313258458504640069e+00 -3.776904304013248281e-01
3.162277660168379043e+03 3.927811014625980368e-01 -4.188377364911193834e-01 2.934527183943038686e-01
1.000000000000000000e+04 1.000522620716223887e+00 2.254548904619206873e-01 8.723044840270948175e-01
3.162277660168379589e+04 1.552285172150283277e+00 8.658506913496388790e-01 1.391416197440034086e+00
1.000000000000000000e+05 2.056073263796600159e+00 1.557687507986455611e+00 1.815633890565425235e+00
3.162277660168379080e+05 2.488028482504101468e+00 2.266288897047714190e+00 2.086631749639558997e+00
1.000000000000000000e+06 2.856317502151816345e+00 2.812428849620598470e+00 2.207663090788002158e+00
3.162277660168379545e+06 3.068743512068366375e+00 3.098276166337738946e+00 2.248797557481137854e+00
1.000000000000000000e+07 3.172131302932356345e+00 3.211524739406050433e+00 2.262357166315745793e+00
3.162277660168379173e+07 3.207852872151337298e+00 3.250951437490351204e+00 2.267354887614298597e+00
1.000000000000000000e+08 3.221613264089036477e+00 3.264134195152786244e+00 2.269429684558395888e+00
