# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -2.753366401689778087e+00 -4.167870726071503107e+00 -2.967095011167254270e+00
3.162277660168379612e+01 -2.334743507057304157e+00 -3.601966569700258525e+00 -2.612434855410865175e+00
1.000000000000000000e+02 -1.787532835548336863e+00 -3.101509491201533297e+00 -2.049772213453318503e+00
3.162277660168379043e+02 -1.136416734093205871e+00 -2.574865673523071496e+00 -1.394731246675760428e+00
1.000000000000000000e+03 -4.782751308185787531e-01 -1.828602932892785971e+00 -7.248351309424403421e-01
3.162277660168379043e+03 1.143700503975606519e-01 -1.270373803890390008e+00 -1.494819240137868488e-01
1.000000000000000000e+04 6.129070688788146315e-01 -6.072567088722857775e-01 3.200221370473635418e-01
3.162277660168379589e+04 1.035626786396654619e+00 8.013195069816889116e-02 7.148279165022108916e-01
1.000000000000000000e+05 1.560993115599189185e+00 1.101020281394566869e+00 1.079668096717726566e+00
3.162277660168379080e+05 1.977510860992935493e+00 1.771601427033991483e+00 1.243833312390843160e+00
1.000000000000000000e+06 2.090367576383230563e+00 2.070756912155684581e+00 1.258386680577433747e+00
3.162277660168379545e+06 2.171095455141182295e+00 2.224613089484719808e+00 1.279264201609616070e+00
1.000000000000000000e+07 2.195132630387301109e+00 2.269976141302064043e+00 1.274274952872245237e+00
3.162277660168379173e+07 2.207951404330902978e+00 2.279231324380929458e+00 1.285753937874215991e+00
1.000000000000000000e+08 2.200006987290446858e+00 2.282784714931505032e+00 1.286769924452171088e+00
