# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -4.817397894792163626e+00 -1.415541155267425744e+01 -4.856275244160658922e+00
3.162277660168379612e+01 -4.296674966565587894e+00 -1.313904750186031301e+01 -4.315386134872677637e+00
1.000000000000000000e+02 -3.231809178355578016e+00 -1.355985773837786112e+01 -3.238404538266395072e+00
3.162277660168379043e+02 -1.379666431175907260e+00 -5.844358789053339720e+00 -1.399052129981837034e+00
1.000000000000000000e+03 -3.375331543801632361e-01 -1.413676374492632615e+00 -3.888958828057768047e-01
3.162277660168379043e+03 3.606010804486884935e-01 -4.522902761897339419e-01 2.701681668303795858e-01
1.000000000000000000e+04 9.788976703729603823e-01 2.237291805710251436e-01 8.339170595686477006e-01
3.162277660168379589e+04 1.529412869437867251e+00 9.099207469300134576e-01 1.306664940818644149e+00
1.000000000000000000e+05 1.986247484469564784e+00 1.640230770733444032e+00 1.642445594795238106e+00
3.162277660168379080e+05 2.434213795730413743e+00 2.279777124043683934e+00 1.816000675648168583e+00
1.000000000000000000e+06 2.686788847829734372e+00 2.662930400968510636e+00 1.881481562772968630e+00
3.162277660168379545e+06 2.820382068037849965e+00 2.827466178991686174e+00 1.903493786571868185e+00
1.000000000000000000e+07 2.849799029645985193e+00 2.886655102289940267e+00 1.911376341988772820e+00
3.162277660168379173e+07 2.881533192626762663e+00 2.906615620139715084e+00 1.914515773744971172e+00
1.000000000000000000e+08 2.881108835651016165e+00 2.913281224331830899e+00 1.915892993530385224e+00
