# time/counts D_GPR D_Exp D_Ref
1.000000000000000000e+01 -4.934038394262838523e+00 -1.438170235445818435e+01 -4.974835859105381175e+00
3.162277660168379612e+01 -4.515298834294618757e+00 -1.436806217295128896e+01 -4.531747365962472074e+00
1.000000000000000000e+02 -4.009065815833419144e+00 -1.478638904428611944e+01 -4.016278069329767497e+00
3.162277660168379043e+02 -2.045506161659978339e+00 -1.547515413216280855e+01 -2.069988787093355764e+00
1.000000000000000000e+03 -3.695487844301769131e-01 -1.562505786412573539e+00 -4.530773671415488368e-01
3.162277660168379043e+03 3.272080448860543167e-01 -5.189081572885887450e-01 2.018968260442718099e-01
1.000000000000000000e+04 9.111098460910660446e-01 2.106397968601710358e-01 7.480908484247608126e-01
3.162277660168379589e+04 1.405904486320273650e+00 9.395440630067366516e-01 1.168278114550001190e+00
1.000000000000000000e+05 1.814473950712763628e+00 1.659724765804812874e+00 1.425733813937126060e+00
3.162277660168379080e+05 2.177807268544986741e+00 2.185893802178170198e+00 1.539171354924037560e+00
1.000000000000000000e+06 2.380500032123614496e+00 2.448295100792258872e+00 1.579253232002578278e+00
3.162277660168379545e+06 2.495290010838191019e+00 2.549624961724432204e+00 1.593231834513455514e+00
1.000000000000000000e+07 2.531280930919066918e+00 2.584610008477591592e+00 1.598549297850227813e+00
3.162277660168379173e+07 2.545943373303579005e+00 2.596312559099391404e+00 1.600777595607960846e+00
1.000000000000000000e+08 2.555979956011225518e+00 2.600252777647923175e+00 1.601795338535862756e+00
