GRASP_Variant V.10.25f    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  sample wet 17.6C10 11A 10mm ap 
Start: 25-May-24  15:36:29   End: 25-May-24  15:51:29 
  
Foreground:  247574 , Loaded: 247540,247573{3} 
Background:  247571 , Loaded: 247542+247571 
Blocked Beam:  247572 , Loaded: 247572 
  
Beam Centre1 [x, y]:  [62.6, 127]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  128    1  256]  :  Numor #247541 
Beam Centre2 [x, y]:  [48.8, 123]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   96    1  256]  :  Numor #0 
Transmissions:  Ts = 0.042127 +/- 0.00011449  Te = 0.97693 +/- 0.001943 
Transmission Numors: Ts:  #247574/ #247542;  ROI:  60   65  120  133 
Transmission Numors: Te:  #247542/ #247570;  ROI:  60   65  120  133 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 cm 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 2 4 
I0 Numor #247541   ROI: 55   70  108  140    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det1 Dist (m): 17.604 
Sample-Det2 Dist (m): 1.407 
Collimation (m): 17.6 
Wavelength: 11.5, Delta Wav: 0.10457 
SAN: 0 (degrees) 
PHI: 0 (degrees) 
Sample Temperature: 273.15 
Total Det Counts: 3830130 
Total Monitor Counts: 1171905 
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:4 
Numor:  247574 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000625761	564347	4498.78	0.000187278
0.000707289	565813	3460.6	0.000187803
0.000800146	557580	4396.93	0.000188481
0.000895139	544837	2598.3	0.000189258
0.0010012	533607	3034.46	0.000190217
0.00111087	516171	2563.61	0.000191319
0.00120187	504202	2424.18	0.000192309
0.00131224	484569	2455.85	0.000193603
0.0014063	467734	2050.31	0.000194784
0.0015125	455855	2153.37	0.000196197
0.00162822	429394	1715.88	0.000197834
0.00173137	410904	1857.14	0.000199635
0.00184655	395431	1631.21	0.000201432
0.00194221	378278	1608.33	0.000202985
0.0020534	360178	1557.5	0.000204859
0.00215495	343852	1344.57	0.000206623
0.00226637	326305	1368.74	0.000208621
0.00238058	306337	1174.97	0.000210723
0.00248954	292570	1206.5	0.000213007
0.00260853	277575	1065.71	0.000215284
0.00271282	261227	1078.03	0.00021731
0.00283357	247200	965.419	0.000219688
0.00294031	233367	934.37	0.000221817
0.00306037	218414	891.29	0.000225241
0.00316897	206224	811.72	0.000228411
0.00329032	194207	809.374	0.000231723
0.00340368	182173	706.849	0.000235089
0.00352807	169636	715.635	0.000238584
0.00365045	160648	610.173	0.000242618
0.00378082	149142	635.414	0.000246196
0.00390445	139443	543.011	0.000249926
0.0040364	130180	568.263	0.00025369
0.00415786	121431	495.992	0.000256968
0.00429279	113400	491.794	0.000261634
0.0044188	105955	446.475	0.000265394
0.00456134	97504.7	417.92	0.000269779
0.00469322	91524	396.053	0.000273941
0.00483774	84569.9	374.291	0.000278388
0.00496798	78682.5	368.061	0.00028301
0.00511238	72461.8	320.067	0.000287647
0.00525605	67937.5	322.162	0.00029274
0.00539755	62803.8	291.461	0.000297289
0.0055519	58677.1	276.954	0.000302317
0.00569704	53691.8	259.65	0.000307144
0.00585407	49867.9	244.642	0.000312769
0.006007	46464.5	235.986	0.000317828
0.00615906	42787.3	215.706	0.000323624
0.0063244	39208.4	202.754	0.000329811
0.00647931	36395.9	199.102	0.000334891
0.00664194	33534.7	177.285	0.000340477
0.00681592	30889.8	167.026	0.000346391
0.00698399	28662.5	164.375	0.000352931
0.0071516	26724.3	149.911	0.000359275
