      IPTS Basename                                                        Avg_Trans    Std_Trans
------------------------------------------------------------------------------------------------
     27357 d1_20C_conf1                                                     0.669144     0.003893
     27357 d1_20C_conf1_raw                                                 0.669049     0.006830
     27357 d1_20C_conf2_tof                                                 0.714349     0.008750
     27357 d1_20C_conf2_tof_raw                                             0.714604     0.009530
     27357 d1_25C_conf1                                                     0.669144     0.003893
     27357 d1_25C_conf1_raw                                                 0.669049     0.006830
     27357 d1_25C_conf2_tof                                                 0.714349     0.008750
     27357 d1_25C_conf2_tof_raw                                             0.714604     0.009530
     27357 d1_30C_conf1                                                     0.669144     0.003893
     27357 d1_30C_conf1_raw                                                 0.669049     0.006830
     27357 d1_30C_conf2_tof                                                 0.714349     0.008750
     27357 d1_30C_conf2_tof_raw                                             0.714604     0.009530
     27357 d1_35C_conf1                                                     0.669144     0.003893
     27357 d1_35C_conf1_raw                                                 0.669049     0.006830
     27357 d1_35C_conf2_tof                                                 0.714349     0.008750
     27357 d1_35C_conf2_tof_raw                                             0.714604     0.009530
     27357 d1_40C_conf1                                                     0.669144     0.003893
     27357 d1_40C_conf1_raw                                                 0.669049     0.006830
     27357 d1_40C_conf2_tof                                                 0.714349     0.008750
     27357 d1_40C_conf2_tof_raw                                             0.714604     0.009530
     27357 d1_45C_conf1                                                     0.669144     0.003893
     27357 d1_45C_conf1_raw                                                 0.669049     0.006830
     27357 d1_45C_conf2_tof                                                 0.714349     0.008750
     27357 d1_45C_conf2_tof_raw                                             0.714604     0.009530
     27357 d1_50C_conf1                                                     0.669144     0.003893
     27357 d1_50C_conf1_raw                                                 0.669049     0.006830
     27357 d1_50C_conf2_tof                                                 0.714349     0.008750
     27357 d1_50C_conf2_tof_raw                                             0.714604     0.009530
     27357 porsil_4m10a_4m2o5a_abs_conf1                                    0.756867     0.024472
     27357 porsil_4m10a_4m2o5a_abs_conf1_raw                                0.756968     0.025100
     27357 porsil_abs_conf1                                                 0.751525     0.021065
     27357 porsil_abs_conf1_raw                                             0.751468     0.022461
     27357 s10_conf1                                                        0.366728     0.019797
     27357 s10_conf1                                                        0.366728     0.019797
     27357 s10_conf1_raw                                                    0.366783     0.019809
     27357 s10_conf1_raw                                                    0.366783     0.019809
     27357 s10_conf2_tof                                                    0.587871     0.009611
     27357 s10_conf2_tof_raw                                                0.587685     0.010212
